"jahr";"anlage";"ort";"bfsnr";"rubrik";"thema";"wert";"einheit";"betrieb"
"2004";"b0118";"Zürich";"261";"Oberflächengewässer";"Wärme";"10000,000";"kW";"Ja"
"2004";"b0119";"Zürich";"261";"Oberflächengewässer";"Wärme";"0,000";"kW";"Ja"
"2004";"b0131";"Zürich";"261";"Oberflächengewässer";"Wärme";"42,000";"kW";"Ja"
"2004";"b0138";"Zürich";"261";"Oberflächengewässer";"Wärme";"87,000";"kW";"Ja"
"2004";"b0143";"Zürich";"261";"Oberflächengewässer";"Wärme";"0,000";"kW";"Ja"
"2004";"b0150";"Zürich";"261";"Oberflächengewässer";"Wärme";"660,000";"kW";"Ja"
"2004";"b0152";"Zürich";"261";"Oberflächengewässer";"Wärme";"220,000";"kW";"Ja"
"2004";"b0157";"Zürich";"261";"Oberflächengewässer";"Wärme";"0,000";"kW";"Ja"
"2004";"b0158";"Zürich";"261";"Oberflächengewässer";"Wärme";"0,000";"kW";"Ja"
"2004";"b0163";"Zürich";"261";"Oberflächengewässer";"Wärme";"0,000";"kW";"Ja"
"2004";"b0174";"Zürich";"261";"Oberflächengewässer";"Wärme";"250,000";"kW";"Ja"
"2004";"b0182";"Zürich";"261";"Oberflächengewässer";"Wärme";"10,800";"kW";"Ja"
"2004";"b0185";"Zürich";"261";"Oberflächengewässer";"Wärme";"249,000";"kW";"Ja"
"2004";"b0186";"Zürich";"261";"Oberflächengewässer";"Wärme";"178,000";"kW";"Ja"
"2004";"b0187";"Zürich";"261";"Oberflächengewässer";"Wärme";"190,000";"kW";"Ja"
"2004";"b0188";"Zürich";"261";"Oberflächengewässer";"Wärme";"165,000";"kW";"Ja"
"2004";"b0192";"Zürich";"261";"Oberflächengewässer";"Wärme";"3150,000";"kW";"Ja"
"2004";"b0193";"Zürich";"261";"Oberflächengewässer";"Wärme";"592,000";"kW";"Ja"
"2004";"b0194";"Zürich";"261";"Oberflächengewässer";"Wärme";"700,000";"kW";"Ja"
"2004";"b0195";"Zürich";"261";"Oberflächengewässer";"Wärme";"376,000";"kW";"Ja"
"2004";"b0196";"Zürich";"261";"Oberflächengewässer";"Wärme";"0,000";"kW";"Ja"
"2004";"b0197";"Zürich";"261";"Oberflächengewässer";"Wärme";"41,000";"kW";"Ja"
"2004";"b0729";"Zürich";"261";"Oberflächengewässer";"Wärme";"350,000";"kW";"Ja"
"2004";"b0735";"Zürich";"261";"Oberflächengewässer";"Wärme";"0,000";"kW";"Ja"
"2004";"b0741";"Zürich";"261";"Oberflächengewässer";"Wärme";"0,000";"kW";"Ja"
"2004";"b0742";"Zürich";"261";"Oberflächengewässer";"Wärme";"0,000";"kW";"Ja"
"2004";"d0117";"Wädenswil";"293";"Oberflächengewässer";"Wärme";"0,000";"kW";"Ja"
"2004";"d0128";"Wädenswil";"293";"Oberflächengewässer";"Wärme";"0,000";"kW";"Ja"
"2004";"d0130";"Horgen";"295";"Oberflächengewässer";"Wärme";"616,000";"kW";"Ja"
"2004";"d0140";"Wädenswil";"293";"Oberflächengewässer";"Wärme";"0,000";"kW";"Ja"
"2004";"d0146";"Horgen";"295";"Oberflächengewässer";"Wärme";"0,000";"kW";"Ja"
"2004";"d0153";"Kilchberg (ZH)";"135";"Oberflächengewässer";"Wärme";"0,000";"kW";"Ja"
"2004";"d0167";"Thalwil";"141";"Oberflächengewässer";"Wärme";"0,000";"kW";"Ja"
"2004";"d0217";"Wädenswil";"293";"Oberflächengewässer";"Wärme";"10,500";"kW";"Ja"
"2004";"d0221";"Rüschlikon";"139";"Oberflächengewässer";"Wärme";"5,700";"kW";"Ja"
"2004";"d0287";"Wädenswil";"293";"Oberflächengewässer";"Wärme";"30,000";"kW";"Ja"
"2004";"d0288";"Wädenswil";"293";"Oberflächengewässer";"Wärme";"28,000";"kW";"Ja"
"2004";"e0100";"Küsnacht (ZH)";"154";"Oberflächengewässer";"Wärme";"545,000";"kW";"Ja"
"2004";"e0123";"Uetikon am See";"159";"Oberflächengewässer";"Wärme";"0,000";"kW";"Ja"
"2004";"e0129";"Meilen";"156";"Oberflächengewässer";"Wärme";"22,000";"kW";"Ja"
"2004";"e0132";"Meilen";"156";"Oberflächengewässer";"Wärme";"0,000";"kW";"Ja"
"2004";"e0141";"Stäfa";"158";"Oberflächengewässer";"Wärme";"23,000";"kW";"Ja"
"2004";"e0143";"Zollikon";"161";"Oberflächengewässer";"Wärme";"27,500";"kW";"Ja"
"2004";"e0163";"Männedorf";"155";"Oberflächengewässer";"Wärme";"26,000";"kW";"Ja"
"2004";"e0165";"Meilen";"156";"Oberflächengewässer";"Wärme";"108,000";"kW";"Ja"
"2004";"e0170";"Männedorf";"155";"Oberflächengewässer";"Wärme";"25,000";"kW";"Ja"
"2004";"g0096";"Dübendorf";"191";"Oberflächengewässer";"Wärme";"0,000";"kW";"Ja"
"2004";"g0128";"Dübendorf";"191";"Oberflächengewässer";"Wärme";"250,000";"kW";"Ja"
"2004";"g0371";"Uster";"198";"Oberflächengewässer";"Wärme";"0,000";"kW";"Ja"
"2004";"h0160";"Pfäffikon";"177";"Oberflächengewässer";"Wärme";"279,000";"kW";"Ja"
"2004";"h0352";"Pfäffikon";"177";"Oberflächengewässer";"Wärme";"0,000";"kW";"Ja"
"2004";"i0257";"Winterthur";"230";"Oberflächengewässer";"Wärme";"0,000";"kW";"Ja"
"2004";"k0087";"Rheinau";"38";"Oberflächengewässer";"Wärme";"0,000";"kW";"Ja"
"2004";"k0116";"Flurlingen";"29";"Oberflächengewässer";"Wärme";"8,000";"kW";"Ja"
"2004";"k0127";"Andelfingen";"291";"Oberflächengewässer";"Wärme";"6,800";"kW";"Ja"
"2004";"l0152";"Hochfelden";"59";"Oberflächengewässer";"Wärme";"0,000";"kW";"Ja"
"2004";"l0184";"Eglisau";"55";"Oberflächengewässer";"Wärme";"80,600";"kW";"Ja"
"2004";"l0204";"Opfikon";"66";"Oberflächengewässer";"Wärme";"93,000";"kW";"Ja"
"2004";"m0152";"Bachs";"81";"Oberflächengewässer";"Wärme";"6,400";"kW";"Ja"
"2004";"m0153";"Bachs";"81";"Oberflächengewässer";"Wärme";"6,400";"kW";"Ja"
